Timestamp,,Artist?,Album Name?,"Version Number? (This is usually needed to catalog, but it's difficult to find sometimes so don't worry too much.)","Is the CD case broken (breaks in half, CD won't stay in place, etc.)?","If you know the label number but the CD case itself is missing, please fill in ""N/A"" for the required questions and select this as an option.",Anything else you’d like to add or mention?,Rateyourmusic.com ?,Other:
3/13/2023 17:58:20,3858,Saint Etienne,Who Do You Think You Are,4/2-45338,No,,,Yes,
3/13/2023 18:00:09,3859,Saint Etienne,Foxbase Alpha,9 26793-2,No,,,Yes,
3/13/2023 18:04:34,3860,Saint Etienne,Only Love Can Break Your Heart ,9 40196-2,No,,,Yes,
3/13/2023 18:05:29,3861,Saint Etienne ,So Tough,9 45166-2,No,,,Yes,
3/13/2023 18:06:52,3862,Salt,Auscultate,314-524 198-2,No,,,Yes,
3/13/2023 18:08:46,3863,Salt Licks,Trust Your Body ,MEC-SL4,No,,,Yes,
6/17/2023 16:50:21,3940,Einstürzende Neubauten,Silence is Sexy,9132-2,No,,"2-disc set, 2nd disc missing",,
3/13/2023 17:58:59,4500,Tenderloin,Let it Leak,9 45630-2,No,,,Yes,
3/13/2023 17:59:49,4501,Tenderloin,Bullseye,9 45941-2,No,,,Yes,
3/13/2023 18:01:44,4502,Terminal Sect,The Humans Conditioned,nota 60201-2,Yes,,,Yes,Missing CD
3/13/2023 18:03:08,4503,George Thorogood & The Destroyers,Boogie People,CDP-7-92514-2,No,,,Yes,
3/13/2023 18:04:42,4504,Temple of the Dog,S/T,75021 5350 2,No,,,Yes,
,4505,N/A,N/A,,,Missing,,,
,4506,N/A,N/A,,,Missing,,,
,4507,N/A,N/A,,,Missing,,,
3/13/2023 18:08:34,4508,Tédio Boys,Bad Trip,,No,,,Yes,
3/13/2023 18:09:39,4509,Television,S/T,CDP 0777 7 98396 2 9,Yes,,,Yes,
3/13/2023 18:10:34,4510,Templebeat,Mediasickness,21C.CD19,No,,,Yes,
3/13/2023 18:11:20,4511,Teen Angels,Daddy,SPCD330,No,,,Yes,
3/13/2023 18:13:26,4512,Teenage Fanclub,S/T,Pro-CD-4417,No,,,,RYM album missing
3/13/2023 18:15:30,4513,Teenage Fanclub,Bandwagonesque (or Star Sign),PRO-CD-4333,No,,,,Version # not on RYM
3/13/2023 18:19:05,4514,That Petrol Emotion,The Peel Sessions,DEI8401-2,Yes,,,,Version # not on RYM
3/13/2023 18:20:08,4515,Teenage Fanclub,Songs From Northern Britain,CK 68202,No,,,,Version # not on RYM
3/13/2023 18:21:25,4516,Teenage Fanclub,Thirteen,DGCD-24533,No,,,,Version # not on RYM
3/13/2023 18:24:45,4517,Teenage Fanclub,Bandwagonesque,DGCD-24461,Yes,,,Yes,Missing CD
3/13/2023 18:25:42,4518,Teenage Fanclub,Grand Prix,DGCSD-24802,No,,,Yes,
3/13/2023 18:27:29,4519,Teen Idols,Honest Don’s Reliable Redneck Recordings,DON013-2,No,,,,RYM album missing
3/13/2023 18:29:15,4520,Towa Tei,Sound Museum,61936-2,No,,,Yes,
3/13/2023 18:29:36,4521,N/A,N/A,,,Missing,,,
3/13/2023 18:30:24,4522,The Telescopes,S/T,WK 57564,No,,,Yes,
3/21/2023 15:38:39,4606,Throwing Muses,Not Too Soon,9 40135-2,No,,,Yes,
3/21/2023 16:18:12,4611,Throwing Muses,Counting Backwards,9 21833-2,No,,,Yes,
3/20/2023 18:36:17,4628,One Shot,The Machine,CDP 522,No,,,,Check to see if artist on RYM is correct; no album listed
3/20/2023 18:21:59,6251,Family of God,We Are The World,sf 010,No,,,Yes,
5/23/2023 14:00:53,7027,Lee Fields,Let's Get A Groove On,DSCD 004,Yes,,,Yes,
5/23/2023 14:49:01,7039,Tricky,Bom Bom Diggy/Hot Like a Sauna,JUXCD1,No,,,,Version # not on RYM
5/23/2023 14:50:17,7040,Hood,Cable Linear Traction,slr 46,No,,,Yes,
5/23/2023 14:51:02,7041,Appendix Out,Daylight Saving,dc152,No,,,Yes,
5/23/2023 14:52:48,7042,Ursula 1000,The Now Sound of Ursula 1000,ESL022,No,,,Yes,
5/23/2023 14:53:22,7043,Lamb,B Line,870 805-2,No,,,Yes,
5/23/2023 14:54:32,7044,V/A,Skinful Volume 3,,No,,"Handwritten labels, no cover or back",,RYM album missing
5/23/2023 14:59:07,7045,Autechre,EP7,INTD-90999,No,,,Yes,
5/23/2023 14:00:07,7046,V/A,Deutscher Funk No. 2 ,CAI2023,No,,,Yes,
5/23/2023 13:58:22,7049,Plaid,Rest Proof Clockwork,INTD-90998,No,,,Yes,
5/23/2023 13:54:22,7050,Kristin Hersh,Sky Motel,CAD 9010CD,Yes,,,Yes,
5/23/2023 13:55:04,7052,GZA,Beneath the Surface,MCD 11969 ?,No,,"Handwritten CD & label, no back or cover",,
5/23/2023 13:59:09,7053,Gang Starr,Full Clip,7087 6 14301 2 7,No,,,,RYM only lists Full Clip with other albums; 7243 8 87675 6 9 ???
5/23/2023 13:53:35,7087,Liquid Todd,Action,UL 1039-2,No,,,Yes,
5/23/2023 13:52:48,7101,Superchunk,Come Pick Me Up,MRG163CD,No,,,Yes,
5/23/2023 13:52:13,7102,Bobby Matos,Live at M.O.C.A.,CBCD020,No,,,Yes,
5/23/2023 13:51:24,7103,Fred Anderson Quartet,Volume I,AIR0049,No,,,Yes,
5/23/2023 13:50:53,7104,The Birthday Party,Live 1981-82,CAD 9005 CD,No,,,Yes,
5/23/2023 13:49:56,7105,Macha,See It Another Way,TWA022CD,No,,,Yes,
5/23/2023 13:47:05,7106,LTJ Bukem and MC Conrad,Progression Sessions 4,GLRPS004(X),No,,Handwritten back & label,Yes,
5/23/2023 13:45:46,7107,Tricky w/ DJ Muggs & Grease,Juxtapose,314 548 432-2,No,,,Yes,
5/23/2023 13:44:55,7108,Kool Keith,Black Elvis/Lost in Space,WK 52000,No,,,Yes,
5/19/2023 16:40:43,7130,The Skywriters,The Skywriters,bes 009,No,,,,RYM album missing
5/19/2023 15:55:03,7132,Walking Wounded,Hard Times,DDCD 9150,No,,,Yes,
5/19/2023 15:54:35,7133,The Nylons,Because...,722392 75435-3,No,,,Yes,
5/19/2023 15:54:00,7134,We Are One,We Are One,ADR 90003,No,,,,"Two artists listed, neither with the correct album name."
5/19/2023 15:53:39,7135,The Walkabouts,Where the Deep Water Goes,SP117b,No,,,Yes,
5/19/2023 15:53:16,7136,The Walkers,And at the End of the Day...,GR16038-2,No,,,,"Multiple artists listed, none with correct album."
5/19/2023 15:52:51,7137,Tribte,Abort,9 26676-2,No,,,,Version # not on RYM
5/19/2023 15:52:26,7138,Treponem Pal,Excess & Overdrive,RR 9076 2,No,,,Yes,
5/19/2023 15:38:18,7154,Blue Meanies,Kiss Your Ass Goodbye!,FUS-1069-2,No,,,Yes,
5/19/2023 15:51:57,7164,Zoo Bombs,Let It Bomb,EMN 7026,No,,Missing CD,Yes,
5/19/2023 15:51:30,7178,Virus-23,Virus-23,FM-023,No,,,Yes,
5/19/2023 15:50:55,7180,Vital Image,Vital Image,IR-4055,No,,,,No artist listed
5/19/2023 15:50:22,7181,The Woodentops,Wooden Foot Cops on the Highway,CK 40861,No,,,,Version # not on RYM
5/19/2023 15:49:31,7182,Wannabes,Mod Flower Cake,DJD 3211,No,,,Yes,
5/19/2023 15:49:12,7192,The Way,Rhyme,,No,,,,"Multiple artists listed, no correct album name."
5/19/2023 15:48:08,7195,The 2 Live Crew,The 2 Live Crew Goes to the Movies: A Decade of Hits,XR228-2,No,,,,RYM album missing
5/19/2023 15:47:32,7196,Flat Duo Jets,Lucky Eye,OPRD-30033,No,,,Yes,
5/19/2023 15:46:55,7197,V/A,Americana: A Tribute to Johnny Cash,IRR 0001-2,No,,,,"Found multiple tributes, none titled Americana"
5/19/2023 15:48:43,7198,Voodoo Gearshift,Glue Goat,CZ052,Yes,,,Yes,
5/19/2023 15:46:25,7199,Papa M,Live From a Shark Cage,DC170 CD,No,,,Yes,
5/19/2023 15:45:47,7200,The Violet Hour ,The Fire Sermon,XPCD 148,No,,,,Version # not on RYM
5/19/2023 15:45:14,7208,Jenn Vix,Jenn Vix,VIX 001,No,,,Yes,
5/19/2023 15:44:53,7218,The Aluminum Group,Pedals,mf-34,No,,,Yes,
5/19/2023 15:44:30,7219,Holiday Flyer,You Make Us Go,DRL-088,Yes,,,Yes,
5/19/2023 15:44:08,7220,The Cherry Orchard,The Start of Our Affair,MAR046,No,,,Yes,
5/19/2023 15:43:19,7221,Barcelona,Simon Basic,MARCH 049,Yes,,,Yes,
5/19/2023 15:42:31,7222,Slick Sixty,Nibs & Nabs,MUTE 9089-2,No,,,Yes,
5/19/2023 15:41:59,7223,Buckethead,Monsters and Robots,COCD47499,No,,,Yes,
5/23/2023 14:45:54,7228,Outrageous Cherry,Out There in the Dark,DFCD 2002,No,,,Yes,
5/19/2023 15:41:31,7248,The Articles,Flip F'real,MR-114,No,,,Yes,
5/19/2023 15:40:18,7251,Bim Skala Bim,Universal,BS20282,No,,,Yes,
5/19/2023 15:39:05,7252,Bim Skala Bim,The One That Got Away,BVR 1002,No,,,Yes,
5/19/2023 15:38:46,7253,King Missile III,Failure,SHM-5090,No,,,Yes,
5/19/2023 15:37:50,7257,Bad Manners,Heavy Petting,MR107,No,,,Yes,
5/19/2023 15:37:28,7258,Bad Manners,Fat Sound,51150-2,Yes,,,Yes,
5/19/2023 15:37:02,7262,Gardener,New Dawning Time,SPCD 454,No,,,Yes,
5/19/2023 15:36:47,7263,The Dinner is Ruined Band,A Maggot in Their Heads,SUNCD056,No,,,Yes,
5/19/2023 15:36:14,7265,Fishbone,Give a Monkey a Brain...,CK 52764,No,,,Yes,
5/19/2023 15:35:46,7267,Fishbone,Chim Chim's Badass Revenge,75444-37010-2,No,,,Yes,
5/19/2023 15:35:17,7268,Fishbone,Bonin' in the Backyard,44K 73549,No,,,Yes,
5/19/2023 15:34:49,7269,Fishbone,In Your Face,CK 40333,No,,,Yes,
5/19/2023 15:33:36,7271,The English Beat,What Is Beat?,CD70040,No,,,Yes,
5/19/2023 15:33:15,7272,Easy Big Fella,Eat at Joey's,MR105,No,,,Yes,
5/19/2023 15:32:10,7273,Dr. Ring-Ding & The Senior Allstars,Ram Di Dance,MR126,No,,,Yes,
5/19/2023 15:30:53,7274,Mr. Ring-Ding & The Senior Allstars,Dandimite!,MR113,No,,,Yes,
5/19/2023 15:30:23,7275,The Donnas,American Teenage Rock 'n' Roll Machine,LK 191,No,,,Yes,
5/19/2023 15:29:56,7277,Dance Hall Crashers,Lockjaw,FTD-11326,No,,,Yes,
5/19/2023 15:29:34,7278,Citizen Fish,Millennia Madness,lookout#123cd,No,,,,Version # not on RYM
5/19/2023 15:29:12,7279,The Busters,Couch Potatoes,Weserlabel 2449,No,,,Yes,
5/19/2023 15:27:45,7280,The Busters,Dead or Alive,MR 0036 CD,No,,,Yes,
5/19/2023 15:25:59,7284,Offbeatniks,12,rajcd 15004,Yes,,,,"""The Beatniks"" but not the ""Offbeatniks"""
5/19/2023 15:25:06,7285,MU330,Crab Rangoon,Asian Man Records 016,No,,,Yes,
5/19/2023 15:24:39,7287,Missing Link,Entourage Garage,Barley Records 88.1,No,,,,"Multiple bands, none with the right album name."
5/19/2023 15:24:07,7288,Los Hooligans,Traditions,MR080CD,No,,,Yes,
5/19/2023 15:23:50,7290,Madness,Madness,GEFD-4003,No,,,,"""BUYIT 112"" is the only listed version number; check album image for correct artist/album."
5/19/2023 15:23:24,7291,Save Ferris,It Means Everything,EK 68183,No,,,Yes,
5/19/2023 15:22:56,7292,V/A,Take Warning: The Songs of Operation Ivy,GF 70001-2,No,,,Yes,
5/19/2023 15:22:11,7294,Kemuri,Little Playmate,RR 8801-2,No,,,Yes,
5/19/2023 15:21:53,7295,Dion Kibb & the Agitators,Driving Me Mad,BS2035-2,No,,,,RYM album missing
5/19/2023 15:21:24,7296,Inspecter 7,... The Infamous,70017-2,No,,,Yes,
5/23/2023 15:08:01,7314,XC-NN,XC-NN,BK 64325,No,,,Yes,
5/23/2023 15:07:34,7315,Velo-Deluxe,Superelastic,MR0089-2,No,,,Yes,
5/23/2023 15:07:04,7316,Velouria,Four Eyes For You,Sick 0001,No,,,Yes,
5/23/2023 15:06:39,7322,Yaz,You and Me Both,9 23903-2,No,,,Yes,
5/23/2023 15:06:13,7324,Vein Laden Meat Pipes,Vein Laden Meat Pipes,TR 520953,No,,,,No artist name on RYM
5/23/2023 15:45:44,7324,Foreskin 500,Manpussy,P2 53899,Yes,,,Yes,
5/23/2023 15:05:15,7325,Judge Roughneck,Rude One's Money Making Scheme,SB-2,Yes,,,Yes,
5/23/2023 15:04:53,7326,The Specials,Guilty 'Til Proved Innocent!,MCD-11735,No,,,Yes,
5/23/2023 15:04:01,7327,Tumbleweed,Weedseed,7 14218-2,No,,,,Version # not on RYM
5/23/2023 15:03:18,7329,The Ska 'Vengers,Push This,AVL95,No,,,,RYM album missing
5/23/2023 15:02:42,7330,Day Glo Abortions,Little Man in the Canoe,CD2332,Yes,,,Yes,
5/23/2023 15:02:08,7335,Skalars,Changeup,MR144,No,,,Yes,
5/23/2023 15:01:18,7336,Skankin' Pickle,Skankin' Pickle Fever,PB-5639,No,,,Yes,
5/23/2023 15:00:40,7338,Voodoo Glow Skulls,Baile de Los Locos,86492-2a,No,,,Yes,
5/23/2023 15:00:01,7339,Unsteady,Double or Nothing,AM017,Yes,,,Yes,
5/23/2023 15:08:50,7340,Skavoovie & The Epitones,Ripe,MR 102,Yes,,,Yes,
5/23/2023 15:09:14,7341,The Skeletons,Dr. Bones,CD-023-2,Yes,,,Yes,
5/23/2023 15:10:00,7343,Strange Tenants,Bluebeat Party,NAK 6127-2,Yes,,,,Version # not on RYM
5/23/2023 15:10:49,7344,Tricia & The Supersonics,King Bravo Selects Ska Authentics,MR 110,Yes,,,Yes,
5/23/2023 15:11:17,7345,The Scofflaws,Live Vol. 1,MR097,No,,,Yes,
5/23/2023 15:12:00,7346,Slow Gherkin,Double Happiness,AM-012,Yes,,,Yes,
5/23/2023 15:12:59,7347,Slightly Stoopid,Slightly Stoopid,SH-101,No,,,Yes,
5/23/2023 15:13:39,7348,Steady Earnest,Out of Line,DVS002CD,No,,,,No artist name on RYM
5/23/2023 15:14:03,7349,The Skoidats,The Times,MR115,No,,,Yes,
5/23/2023 15:19:11,7353,V/A,Skarmageddon 3: A New Beginning,MR101CD,No,,,Yes,
5/19/2023 15:21:01,7355,V/A,Ska: The Third Wave,cond-19505,No,,,Yes,
5/23/2023 15:19:58,7360,Hi-Standard,Making the Road,Fat 599-2,No,,,Yes,
5/23/2023 15:20:42,7362,The Sensors,Heat Death,HFP001,No,,Water damage to cover & insert,,"Multiple bands, none with the right album name."
5/23/2023 15:21:45,7363,Blood of Abraham,Future Profits,88561-5502-2,Yes,,,Yes,
5/23/2023 15:22:27,7367,Stereo Total,My Melody,Bob-8,No,,Improper label replaced,Yes,
5/23/2023 15:24:09,7368,F.S. Effect,So Deep It's Bottomless,9 24430-2,No,,,Yes,
5/23/2023 15:24:32,7371,Ahmad,Back in the Day,PRO-CD-6799,Yes,,,,Pro-A-6901?
5/23/2023 15:25:09,7373,Delerium,Semantic Spaces,Nettwerk W2-30092,No,,,,Version # not on RYM
5/23/2023 15:25:36,7374,122 griege,Moving Away From the Sun,teen010,No,,,Yes,
5/23/2023 15:26:03,7376,The Receivers,Words and Terms,WR1384-2,No,,,Yes,
5/23/2023 15:26:28,7377,Fatima,Bent Leg,JJ26,No,,,,"Multiple bands, none with the right album name."
5/23/2023 15:27:04,7378,Groove Collective,Lift Off,GSRDM-3085,No,,# is hard to see from the side,,RYM album missing
5/23/2023 15:27:43,7379,Vodka,shE's mY drEAm,OBL102,No,,,Yes,
5/23/2023 15:28:36,7380,Stereo MC's,Supernatural,444 032-2,Yes,,,Yes,RYM album missing
5/23/2023 15:29:08,7381,Stereo MC's,Elevate My Mind,PRCD-519-2,No,,No cover ,,Version # not on RYM
5/23/2023 15:29:37,7383,Stereo MC's,Step It Up,PRCD 6772-2,No,,,,
5/23/2023 15:31:11,7387,Mr. Bungle,Mr. Bungle,9 26640-2,No,,,Yes,
5/23/2023 15:31:40,7389,The Stereo MC's,The Stereo MC's,444 026-2,No,,,Yes,
5/23/2023 15:32:24,7390,David Sylvain,Gone to Earth,CDVDL-1,No,,,Yes,
5/23/2023 15:32:46,7391,The Call,To Heaven and Back,9701 FCD,Yes,,,Yes,
5/23/2023 15:33:27,7392,Let's Go Bowling,Mr. Twist,MR065CD,No,,,Yes,
5/23/2023 15:34:04,7394,Van Morrison with Georgie Fame & Friends,How Long Has This Been Going On,314 529 136-2,No,,,Yes,
5/23/2023 15:35:03,7398,Grandaddy,Signal to Snow Ratio,63881-27612-2,No,,,Yes,
5/19/2023 15:20:29,7399,Red Lorry Yellow Lorry,Nothing Wrong,8480-2-H,No,,,Yes,
5/19/2023 15:19:51,7400,David Sylvain & Robert Fripp,The First Day,0777 7 88208 2 6 ,No,,,Yes,
5/19/2023 15:16:14,7401,William S. Burroughs & Kurt Cobain,"The ""Priest"" They Called Him",TK92CD044,No,,,Yes,
5/19/2023 15:15:01,7402,The Jazzhole,... and the feeling goes round,92586,No,,,Yes,
5/19/2023 15:14:41,7405,The Pietasters,Oolooloo,MR059,No,,,Yes,
5/19/2023 15:14:24,7409,The Fixtures,Devil's Playground,VIRUS 187CD,No,,,Yes,
5/19/2023 15:13:44,7410,Cows,Sexy Pee Story,Amrep 015,No,,,Yes,
5/19/2023 15:13:15,7411,Iam,L'ecole du Micro d'Argent,7243 8 44000 2 6 ,No,,,Yes,
5/23/2023 15:35:34,7412,Buddy Holly,From the Original Master Tapes,MCAD-5540,No,,,Yes,
5/23/2023 15:35:59,7414,Ultra Cindy,The Mermaid's Parade,EAR06,Yes,,,Yes,
5/23/2023 15:36:23,7415,Urchins,Yummy,ACM-9501,No,,,Yes,
5/23/2023 15:40:08,7416,Swamp Zombies,Scratch and Sniff Car Crash,DDCD 9034,No,,,,DDLP or DDCS 9034?
5/23/2023 15:40:46,7417,Wartime,Fast Food for Thought,F2 21753,No,,,Yes,
5/23/2023 15:41:37,7418,Skinnerbox,"What You Can Do, What You Can't",MR112,No,,,Yes,
5/23/2023 15:42:18,7419,Samba Mapangala & Orchestre Virunga,Virunga Volcano,2-91408,No,,,Yes,
5/23/2023 15:42:51,7420,The Jolly Boys,Sunshine 'n' Water,RCD 10187,No,,,Yes,
5/23/2023 15:43:18,7421,Crush,The Rain,PRCD 4972-2,Yes,,,,RYM album missing
5/23/2023 15:44:25,7422,Clan of Xymox,Creatures,MET 128,No,,Spine is misspelled: CALN of Xymox!,Yes,
5/23/2023 15:46:42,7426,Elliott Sharp & Carbon,Truthtable,HMS 202-2,No,,,Yes,
5/19/2023 15:12:25,7430,Trilobites,Savage Mood Swing,842 646-2,No,,,Yes,
5/19/2023 15:12:01,7431,Tribe After Tribe,Tribe After Tribe,7 82235-2,No,,,Yes,
5/19/2023 15:11:18,7432,Tribe After Tribe,Love Under Will,202866915-2,No,,,,Version # not on RYM
5/19/2023 15:10:34,7433,My Sin,Tribes,ERCD01,No,,,Yes,
5/19/2023 15:10:04,7434,Triangle,Raw Feed,RHR1516,No,,,Yes,
5/19/2023 14:59:12,7435,Angélique Kidjo,Ayé,162-539 934-2,No,,,Yes,
5/19/2023 14:58:23,7436,Youth Gone Mad,Day Job,MTD028,No,,Extra (blank?) disc,Yes,
5/19/2023 14:57:46,7437,V/A,The Young Flamencos (Los Jovenes Flamencos),HNCD 1370,No,,,Yes,
5/19/2023 14:56:52,7438,Zak,Across the Brazos,ZA-1006,No,,,,"Multiple bands, none with the right album name."
5/19/2023 14:56:29,7439,Zap Mama,Sabsylma,9 45537-2,No,,,Yes,
5/19/2023 14:55:39,7442,Asshole,Asshole,smut002,No,,,,"Multiple bands, none with the right album name."
5/19/2023 14:55:13,7446,Will and the Bushmen,Blunderbuss,OXCD9141-2,No,,,Yes,
5/19/2023 14:54:44,7447,Xtra Large,NOWiEATthem,9 24469-2,No,,,Yes,
5/23/2023 15:48:04,7450,Whipped,This Is What It's Like,,No,,,,"There's a single (1) artist but not the right album, and I can't search to check if the artist is even correct."
5/23/2023 15:48:37,7451,Red Stars Theory,Life In A Bubble Can Be Beautiful,tg197cd,No,,,Yes,
5/23/2023 15:49:01,7452,The Sensualists,The Sensualists,ADR 033,No,,,Yes,
5/23/2023 15:49:42,7453,Hefner,The Fidelity Wars,PURE 92CD,No,,,Yes,
5/23/2023 15:51:20,7454,The Magnetic Fields,69 Love Songs Sampler,MRG 166/167/168,No,,Cover missing. Cool promo of this album!,Yes,
5/23/2023 15:52:05,7455,Captain Audio,My Ears Are Ringing But My Heart's OK,5304-10032-2,No,,,Yes,
5/23/2023 15:52:55,7456,Arsonists,As The World Burns,OLE 343-2,No,,,Yes,
5/23/2023 15:53:39,7457,Lakuna,Castle of Crime,GAD 9010 CD,No,,,Yes,
5/23/2023 15:54:10,7458,Headcase,Mushiness,TMC27CD,No,,,Yes,
5/19/2023 14:54:13,7460,Tilt,Viewers Like You,Fat 592-2,No,,,Yes,
5/23/2023 14:02:34,7461,Thee Michelle Gun Elephant,Rumble,COCP-50132 TRIAD,No,,,Yes,
5/19/2023 14:53:42,7463,V/A,N.O.-Fi: A Live Documentation of N.O. Garage/Surf/Punk,TD013/rbe005,No,,,,RYM album missing
5/19/2023 14:53:01,7464,The Mr. T Experience,Alcatraz,LK232 CD,No,,,Yes,
5/19/2023 14:52:32,7465,The Promise Ring,Very Emergency,7 92258 1043 2 5,No,,,,JT1043 ?
5/19/2023 14:51:52,7466,Bell,A New Kind of Rome,YIR103,No,,,Yes,
5/23/2023 14:47:02,7467,Winterbrief,Complaints From the Beauty Class,HC005,No,,,Yes,
5/23/2023 14:48:23,7468,Vermont,Living Together,kc032,Yes,,Case is extremely broken,Yes,
5/19/2023 14:51:32,7469,Quasi,Field Studies,UP 072,No,,,Yes,
5/19/2023 14:50:54,7470,The Minders,Cul de Sacs and Dead Ends,spart 76/EG-021,No,,,Yes,
5/19/2023 14:50:19,7471,Breakbeat Era,Ultra Obscene,0694904282,No,,,,XLCD 130 ?
5/19/2023 14:49:42,7472,The Freshmäka,I Am the Freshmäka,MM 80116-2,No,,,Yes,
5/19/2023 14:49:07,7473,Genaside II,Ad Finité,NR4028,No,,,Yes,
5/19/2023 14:48:27,7474,Innerzone Orchestra,Programmed,ASW 6277-2,No,,,,546 137-2 ?
5/19/2023 14:47:41,7475,Air,Premiers Symptômes,ASW 6264-2 0170 4 66264 2 2,Yes,,,Yes,
5/23/2023 14:06:49,7476,The Wiseguys,The Antidote,,No,,,,"WALLCD020, or 048 810 015-2 ?"
5/19/2023 14:46:58,7477,V/A,The World of Drum & Bass,,No,,,Yes,
5/23/2023 14:14:28,7479,One True Parker,Will I Dream?,NR2029,No,,,Yes,
5/23/2023 14:17:01,7480,V/A,Cater To The DJ,,No,,"Handwritten labels, no cover & back.",,"Album name exists, but under a specified artist."
5/23/2023 14:17:30,7481,Drome,Anachronism,SR9224,No,,,,Version # not on RYM
5/23/2023 14:20:51,7483,Dripping Goss,Flake,DIDX 012865,No,,,Yes,
5/23/2023 14:21:54,7484,The Trouble With Larry,The Trouble With Larry,PCD-11,No,,,Yes,
5/23/2023 14:22:58,7484,Dripping Goss,Blowtorch Consequence,AP-6005-2,No,,,,2 7484's??
5/23/2023 14:23:24,7487,Citizen Fish,Wider Than a Postcard,fish26cd,No,,,Yes,
5/23/2023 14:24:29,7489,Tuscadero,The Pink Album,PRCD-9535-2,No,,,Yes,
5/23/2023 14:25:30,7490,Gene Vincent,Capitol Collector's Series,CDP 7 94074-2,Yes,,,Yes,
5/23/2023 14:26:46,7492,The Velcro Peasants,All The Rage,blat records 001,No,,,Yes,
5/23/2023 14:28:22,7494,Sven Väth,Ritual of Life An Accident in Paradise ,9 41403-2,No,,,,2 separate albums?? Do we have both CD's or are they combined?
5/23/2023 14:29:15,7496,The Wilcoxes,Indeed,0616-31103-2,No,,,,No artist name on RYM
5/23/2023 14:44:17,7497,Wishplants,Plants of Us,,Yes,,,,RYM album missing
5/23/2023 14:45:06,7498,Uakti,Mapa,PNT 965-2,No,,,Yes,
5/19/2023 14:05:35,7499,Ultrasound,Sonic Bloom,77732-2,No,,,,"Multiple Ultrasound artists, multiple Sonic Blood albums, none together."
